#iter	     #Particle	       tx	       ty	       tz	     twist	     energy	     
1.0000	      1.0000	      3.1507	      0.3551	      3.4998	      0.0026	      -646875.0240	      
1.0000	      2.0000	      3.0283	      0.3102	      3.5258	      0.0029	      -646717.3238	      
1.0000	      3.0000	      3.4337	      0.2403	      3.4166	      0.0028	      -647057.6340	      
1.0000	      4.0000	      3.2842	      0.0819	      3.4838	      0.0014	      -646955.0626	      
1.0000	      5.0000	      3.0576	      0.3971	      3.5802	      0.0026	      -646803.1235	      
1.0000	      6.0000	      3.4306	      0.3905	      3.5063	      0.0034	      -647140.3282	      
1.0000	      7.0000	      3.2538	      0.3855	      3.5298	      0.0045	      -647017.5639	      
1.0000	      8.0000	      3.1730	      0.0613	      3.4618	      0.0037	      -646820.2177	      
1.0000	      9.0000	      3.3071	      0.2775	      3.5175	      0.0048	      -647043.9253	      
1.0000	      10.0000	      3.0287	      0.1701	      3.5495	      0.0041	      -646722.2001	      
1.0000	      11.0000	      3.1906	      0.1070	      3.5474	      0.0031	      -646913.3851	      
1.0000	      12.0000	      3.1027	      0.3687	      3.5399	      0.0020	      -646838.8321	      
1.0000	      13.0000	      3.0301	      0.1171	      3.4186	      0.0025	      -646614.8886	      
1.0000	      14.0000	      3.0725	      0.1555	      3.4811	      0.0037	      -646732.1225	      
1.0000	      15.0000	      3.2657	      0.2819	      3.5231	      0.0044	      -647010.4012	      
2.0000	      1.0000	      3.3645	      0.3813	      3.4355	      0.0026	      -647056.0233	      
2.0000	      2.0000	      3.1373	      0.3359	      3.5861	      0.0001	      -646911.3209	      
2.0000	      3.0000	      3.1898	      0.2191	      3.4845	      0.0013	      -646893.1087	      
2.0000	      4.0000	      3.0995	      0.1851	      3.5126	      0.0025	      -646795.7451	      
2.0000	      5.0000	      3.2051	      0.0988	      3.5889	      0.0005	      -646954.8184	      
2.0000	      6.0000	      3.2232	      0.0936	      3.4690	      0.0040	      -646889.2482	      
2.0000	      7.0000	      3.4373	      0.1077	      3.4121	      0.0043	      -647016.1196	      
2.0000	      8.0000	      3.0495	      0.3460	      3.5153	      0.0022	      -646744.0040	      
2.0000	      9.0000	      3.0166	      0.1421	      3.5623	      0.0020	      -646710.3969	      
2.0000	      10.0000	      3.2386	      0.2073	      3.4832	      0.0021	      -646942.9070	      
2.0000	      11.0000	      3.2412	      0.3548	      3.4842	      0.0026	      -646972.5929	      
2.0000	      12.0000	      3.2334	      0.2527	      3.5211	      0.0036	      -646971.6245	      
2.0000	      13.0000	      3.1375	      0.1477	      3.5217	      0.0041	      -646843.3639	      
2.0000	      14.0000	      3.3619	      0.3185	      3.5302	      0.0018	      -647099.8691	      
2.0000	      15.0000	      3.4870	      0.0669	      3.5627	      0.0001	      -647128.1252	      
3.0000	      1.0000	      3.3700	      0.0002	      3.4255	      0.0023	      -646946.4318	      
3.0000	      2.0000	      3.2789	      0.2464	      3.5594	      0.0023	      -647038.3251	      
3.0000	      3.0000	      3.4307	      0.0983	      3.5364	      0.0026	      -647095.7437	      
3.0000	      4.0000	      3.4433	      0.3089	      3.5473	      0.0046	      -647155.7793	      
3.0000	      5.0000	      3.3704	      0.1828	      3.5167	      0.0037	      -647071.1564	      
3.0000	      6.0000	      3.0055	      0.3065	      3.4667	      0.0031	      -646637.5051	      
3.0000	      7.0000	      3.3923	      0.3016	      3.5191	      0.0011	      -647110.9976	      
3.0000	      8.0000	      3.4523	      0.3732	      3.5481	      0.0002	      -647170.4074	      
3.0000	      9.0000	      3.1838	      0.3798	      3.4589	      0.0021	      -646892.3459	      
3.0000	      10.0000	      3.4296	      0.1208	      3.5809	      0.0038	      -647127.4303	      
3.0000	      11.0000	      3.1761	      0.1310	      3.5839	      0.0001	      -646927.0863	      
3.0000	      12.0000	      3.3365	      0.3589	      3.5269	      0.0047	      -647085.6166	      
3.0000	      13.0000	      3.0934	      0.1916	      3.4720	      0.0037	      -646759.6910	      
3.0000	      14.0000	      3.0778	      0.0468	      3.5599	      0.0042	      -646775.6054	      
3.0000	      15.0000	      3.4771	      0.1525	      3.5236	      0.0014	      -647125.4056	      
4.0000	      1.0000	      3.2276	      0.0901	      3.5259	      0.0044	      -646933.1927	      
4.0000	      2.0000	      3.4077	      0.1013	      3.4785	      0.0004	      -647046.7628	      
4.0000	      3.0000	      3.1027	      0.3340	      3.4541	      0.0009	      -646776.7875	      
4.0000	      4.0000	      3.1842	      0.0080	      3.4516	      0.0003	      -646807.3216	      
4.0000	      5.0000	      3.4908	      0.2957	      3.4144	      0.0001	      -647096.4050	      
4.0000	      6.0000	      3.4512	      0.1031	      3.5721	      0.0023	      -647128.4001	      
4.0000	      7.0000	      3.2139	      0.0588	      3.5983	      0.0003	      -646960.5633	      
4.0000	      8.0000	      3.2343	      0.2723	      3.4511	      0.0018	      -646929.2996	      
4.0000	      9.0000	      3.2545	      0.0993	      3.4837	      0.0001	      -646932.8809	      
4.0000	      10.0000	      3.0637	      0.3422	      3.4486	      0.0036	      -646716.8079	      
4.0000	      11.0000	      3.0416	      0.3062	      3.4073	      0.0034	      -646648.6039	      
4.0000	      12.0000	      3.4164	      0.3168	      3.4117	      0.0042	      -647062.6042	      
4.0000	      13.0000	      3.4568	      0.2576	      3.5459	      0.0005	      -647152.5513	      
4.0000	      14.0000	      3.3518	      0.2741	      3.5658	      0.0035	      -647104.7820	      
4.0000	      15.0000	      3.3227	      0.1325	      3.4397	      0.0037	      -646970.7130	      
5.0000	      1.0000	      3.0565	      0.2320	      3.5226	      0.0046	      -646750.3318	      
