#iter	     #Particle	       tx	       ty	       tz	     twist	     energy	     
1.0000	      1.0000	      1.5190	      0.2946	      3.5232	      -21.6186	      -490368.1050	      
1.0000	      2.0000	      1.1091	      0.0481	      3.5777	      -4.6892	      -490205.4837	      
1.0000	      3.0000	      0.5823	      0.5807	      3.3067	      -35.5786	      -490335.3118	      
1.0000	      4.0000	      0.4498	      0.8309	      3.5259	      -35.9785	      -490320.3557	      
1.0000	      5.0000	      0.4212	      0.4726	      3.3200	      -24.2754	      -490365.8754	      
1.0000	      6.0000	      0.2115	      0.9442	      3.5553	      -7.4185	      -489724.4659	      
1.0000	      7.0000	      1.6573	      0.2378	      3.3325	      -17.1367	      -490379.4868	      
1.0000	      8.0000	      0.3394	      0.6151	      3.3647	      -13.9205	      -489557.7004	      
1.0000	      9.0000	      1.1768	      0.3271	      3.4747	      -28.6292	      -490351.5659	      
1.0000	      10.0000	      0.0615	      0.5859	      3.5507	      -14.3787	      -489821.9682	      
1.0000	      11.0000	      1.6232	      0.6858	      3.5577	      -35.4244	      -490318.2400	      
1.0000	      12.0000	      0.1396	      0.9409	      3.3631	      -4.6401	      -488926.3767	      
1.0000	      13.0000	      1.8839	      0.5123	      3.5275	      -9.5186	      -490331.9302	      
1.0000	      14.0000	      0.4002	      0.3162	      3.3494	      -30.0356	      -490358.3691	      
1.0000	      15.0000	      1.3382	      0.8196	      3.5632	      -28.7137	      -490338.6820	      
2.0000	      1.0000	      1.6330	      0.5380	      3.4579	      -19.9448	      -490372.8245	      
2.0000	      2.0000	      1.2212	      0.1012	      3.5483	      -6.5450	      -490230.5980	      
2.0000	      3.0000	      1.1905	      0.1456	      3.5005	      -32.5651	      -490334.3382	      
2.0000	      4.0000	      1.1571	      0.8696	      3.3910	      -35.5589	      -490329.6915	      
2.0000	      5.0000	      1.0770	      0.1267	      3.4602	      -21.7160	      -490380.1432	      
2.0000	      6.0000	      0.6456	      0.3223	      3.5763	      -7.7151	      -489956.0394	      
2.0000	      7.0000	      1.9587	      0.7125	      3.3703	      -17.0204	      -490368.8817	      
2.0000	      8.0000	      0.6923	      0.8215	      3.4478	      -14.0960	      -490079.1251	      
2.0000	      9.0000	      1.8630	      0.8590	      3.4465	      -27.3862	      -490343.3963	      
2.0000	      10.0000	      0.6684	      0.0948	      3.4695	      -14.1574	      -489969.0834	      
2.0000	      11.0000	      0.2919	      0.9530	      3.4648	      -32.6404	      -490336.6345	      
2.0000	      12.0000	      0.6660	      0.3287	      3.3540	      -5.5516	      -489629.8499	      
2.0000	      13.0000	      0.5613	      0.9261	      3.4960	      -11.2510	      -490013.6092	      
2.0000	      14.0000	      0.8504	      0.0031	      3.5101	      -25.6469	      -490366.6439	      
2.0000	      15.0000	      1.6493	      0.7510	      3.3168	      -26.2536	      -490358.3053	      
3.0000	      1.0000	      1.6617	      0.6540	      3.5328	      -19.3019	      -490366.3331	      
3.0000	      2.0000	      1.2617	      0.1386	      3.3269	      -8.5431	      -490130.2317	      
3.0000	      3.0000	      1.4543	      0.6311	      3.4807	      -27.4608	      -490349.7197	      
3.0000	      4.0000	      1.6368	      0.8649	      3.5239	      -33.6115	      -490324.5558	      
3.0000	      5.0000	      1.5361	      0.5845	      3.4684	      -19.9245	      -490373.0920	      
3.0000	      6.0000	      1.0704	      0.5317	      3.3844	      -9.1958	      -490091.8475	      
3.0000	      7.0000	      0.0282	      0.8471	      3.3096	      -17.0754	      -489345.6565	      
3.0000	      8.0000	      1.0046	      0.8962	      3.3260	      -15.1024	      -490202.2674	      
3.0000	      9.0000	      0.1200	      0.0342	      3.3378	      -25.4920	      -490373.6106	      
3.0000	      10.0000	      1.1897	      0.4602	      3.5328	      -14.0230	      -490305.7702	      
3.0000	      11.0000	      0.9014	      0.0580	      3.3085	      -29.3812	      -490361.9172	      
3.0000	      12.0000	      1.1332	      0.5692	      3.4901	      -6.2910	      -490176.1985	      
3.0000	      13.0000	      1.6715	      0.9748	      3.3025	      -13.6334	      -490329.5601	      
3.0000	      14.0000	      1.1673	      0.5137	      3.3091	      -22.4848	      -490379.7526	      
3.0000	      15.0000	      1.8391	      0.6544	      3.5651	      -23.3086	      -490348.2427	      
4.0000	      1.0000	      1.5830	      0.5588	      3.4727	      -19.6092	      -490373.2326	      
4.0000	      2.0000	      1.2514	      0.1501	      3.3315	      -11.0771	      -490163.6564	      
4.0000	      3.0000	      1.6042	      0.8928	      3.3768	      -23.5735	      -490362.8698	      
4.0000	      4.0000	      1.8152	      0.7900	      3.5994	      -31.5244	      -490322.7173	      
4.0000	      5.0000	      1.7137	      0.8340	      3.3816	      -19.5461	      -490369.4650	      
4.0000	      6.0000	      1.3693	      0.5704	      3.3797	      -11.0970	      -490272.0192	      
4.0000	      7.0000	      0.7419	      0.4457	      3.5013	      -17.2462	      -490251.1941	      
4.0000	      8.0000	      1.2243	      0.8003	      3.3894	      -16.7054	      -490325.5846	      
4.0000	      9.0000	      0.5794	      0.1767	      3.5000	      -23.0372	      -490377.1668	      
4.0000	      10.0000	      1.5319	      0.6528	      3.4781	      -14.2471	      -490356.6792	      
4.0000	      11.0000	      1.3316	      0.1488	      3.4451	      -26.2254	      -490361.4569	      
4.0000	      12.0000	      1.4516	      0.7263	      3.4882	      -8.2484	      -490280.9067	      
4.0000	      13.0000	      0.3858	      0.6271	      3.3438	      -14.0313	      -489567.7407	      
4.0000	      14.0000	      1.3824	      0.7691	      3.3940	      -20.1537	      -490370.2512	      
4.0000	      15.0000	      1.8868	      0.5804	      3.3587	      -21.9521	      -490365.2164	      
